City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,tura,25.5198,90.2201,17.970000000000027,26,1,1.14,IN,2024-02-13
283,east london,-33.0153,27.9116,24.52000000000004,73,40,6.69,ZA,2024-02-13
284,emerald,-23.5333,148.1667,24.08000000000004,87,100,5.2,AU,2024-02-13
285,el calafate,-50.3408,-72.2768,11.439999999999998,59,100,3.03,AR,2024-02-13
286,bestobe,52.4994,73.0975,-8.349999999999966,69,100,9.3,KZ,2024-02-13
287,grand-bassam,5.2118,-3.7388,32.98000000000002,66,34,4.54,CI,2024-02-13
288,keren,15.7778,38.4581,27.99000000000001,11,2,5.48,ER,2024-02-13
289,castillos,-34.1667,-53.8333,19.590000000000032,53,100,6.68,UY,2024-02-13
290,kurchum,48.5722,83.6542,-22.17999999999998,96,15,2.12,KZ,2024-02-13
291,lai chau,22.3997,103.4517,17.879999999999995,60,67,1.13,VN,2024-02-13
292,deniliquin,-35.5333,144.9667,22.879999999999995,43,14,7.14,AU,2024-02-13
293,karasuk,53.7377,78.0403,-11.659999999999968,89,100,5.45,RU,2024-02-13
294,severo-yeniseyskiy,60.3725,93.0408,-21.899999999999977,96,100,4.02,RU,2024-02-13
295,santa terezinha,-29.9002,-50.0904,24.189999999999998,99,100,1.38,BR,2024-02-13
296,itaituba,-4.2761,-55.9836,25.090000000000032,94,100,2.06,BR,2024-02-13
297,al jawf,29.5,38.75,23.960000000000036,21,84,4.66,SA,2024-02-13
298,long beach,33.767,-118.1892,12.210000000000036,83,0,2.06,US,2024-02-13
299,verkhovazh'ye,60.7472,42.0465,-21.139999999999986,100,77,1.44,RU,2024-02-13
300,berezovyy,51.6667,135.7,-14.389999999999986,96,100,1.59,RU,2024-02-13
301,benguela,-12.5763,13.4055,30.430000000000007,70,48,5.0,AO,2024-02-13
302,olyokminsk,60.3736,120.4264,-25.089999999999975,99,100,1.35,RU,2024-02-13
303,ribeira grande,38.5167,-28.7,17.220000000000027,88,75,10.28,PT,2024-02-13
304,pangody,65.85,74.4859,-37.889999999999986,98,10,2.52,RU,2024-02-13
305,hafnarfjordur,64.0671,-21.9377,-0.06999999999999318,74,40,8.23,IS,2024-02-13
306,salalah,17.0151,54.0924,27.05000000000001,65,20,2.57,OM,2024-02-13
307,guichon,-32.35,-57.2,21.460000000000036,50,70,5.96,UY,2024-02-13
308,curaca,-8.9903,-39.9094,31.890000000000043,43,98,6.65,BR,2024-02-13
309,dunedin,-45.8742,170.5036,16.0,80,8,0.45,NZ,2024-02-13
